date,label,amount
2025-04-01,CANVA PRO,-12.99
2025-04-02,APPLE MUSIC,-9.99
2025-04-03,NETFLIX,-5.99
2025-04-04,FRAIS CARTE,-2.00
2025-04-05,UBER TRIP,-12.40
2025-04-06,CARREFOUR LOMME,-92.10
2025-04-07,AMAZON PRIME,-6.99
2025-04-08,CANVA PRO,-12.99
2025-04-09,UBER TRIP,-12.40
2025-04-10,EDF FACTURE,-96.30
2025-04-11,LIDL LOMME,-37.80
2025-04-12,FRAIS TENUE DE COMPTE,-8.00
2025-04-13,UBER TRIP,-12.40
2025-04-14,ASSURANCE AUTO MAIF,-68.90
2025-04-15,SPOTIFY,-10.99
2025-04-16,CARREFOUR LOMME,-92.10
2025-04-17,UBER TRIP,-14.90
2025-04-18,UBER TRIP,-14.90
2025-04-19,EDF FACTURE,-96.30
2025-04-20,UBER TRIP,-12.40
2025-04-21,CARREFOUR LOMME,-92.10
2025-04-22,CANVA PRO,-12.99
2025-04-23,FRAIS CARTE,-2.00
2025-04-24,FRAIS TENUE DE COMPTE,-8.00
2025-04-25,UBER TRIP,-9.70
2025-04-26,LIDL LOMME,-43.20
2025-04-27,ASSURANCE AUTO MAIF,-68.90
2025-04-28,EDF FACTURE,-96.30
2025-04-29,CANVA PRO,-12.99
2025-04-30,CARREFOUR LOMME,-84.50
2025-05-01,LIDL LOMME,-43.20
2025-05-02,FRAIS CARTE,-2.00
2025-05-03,UBER TRIP,-12.40
2025-05-04,FRAIS TENUE DE COMPTE,-8.00
2025-05-05,ORANGE INTERNET,-39.99
2025-05-06,NETFLIX,-5.99
2025-05-07,EDF FACTURE,-96.30
2025-05-08,ASSURANCE HABITATION MAIF,-21.50
2025-05-09,APPLE MUSIC,-9.99
2025-05-10,ASSURANCE HABITATION MAIF,-21.50
2025-05-11,LIDL LOMME,-43.20
2025-05-12,UBER TRIP,-14.90
2025-05-13,DEEZER,-10.99
2025-05-14,SPOTIFY,-10.99
2025-05-15,FRAIS CARTE,-2.00
2025-05-16,EDF FACTURE,-96.30
2025-05-17,ASSURANCE HABITATION MAIF,-21.50
2025-05-18,DEEZER,-10.99
2025-05-19,UBER TRIP,-14.90
2025-05-20,DEEZER,-10.99
2025-05-21,LIDL LOMME,-43.20
2025-05-22,UBER TRIP,-9.70
2025-05-23,ASSURANCE AUTO MAIF,-68.90
2025-05-24,DEEZER,-10.99
2025-05-25,EDF FACTURE,-96.30
2025-05-26,FRAIS TENUE DE COMPTE,-8.00
2025-05-27,LINKEDIN PREMIUM,-29.99
2025-05-28,EDF FACTURE,-96.30
2025-05-29,DEEZER,-10.99
2025-05-30,FRAIS TENUE DE COMPTE,-8.00
2025-05-31,CARREFOUR LOMME,-84.50
2025-06-01,ASSURANCE HABITATION MAIF,-21.50
2025-06-02,FRAIS CARTE,-2.00
2025-06-03,APPLE MUSIC,-9.99
2025-06-04,UBER TRIP,-14.90
2025-06-05,ASSURANCE HABITATION MAIF,-21.50
2025-06-06,FRAIS TENUE DE COMPTE,-8.00
2025-06-07,ASSURANCE AUTO MAIF,-68.90
2025-06-08,UBER TRIP,-9.70
2025-06-09,LINKEDIN PREMIUM,-29.99
2025-06-10,CANVA PRO,-12.99
2025-06-11,FRAIS CARTE,-2.00
2025-06-12,EDF FACTURE,-96.30
2025-06-13,UBER TRIP,-14.90
2025-06-14,CANVA PRO,-12.99
2025-06-15,CARREFOUR LOMME,-92.10
2025-06-16,UBER TRIP,-12.40
2025-06-17,APPLE MUSIC,-9.99
